name,lat,long,download,upload,tester
Equator Coffee,37.8078061,-122.4756642,20,5,breck
Starbucks,37.79699089697419,-122.39822220460087,9,3,breck
Hyatt,37.79438070637101,-122.39598883959945,2,4,breck
Delah Coffee,37.7810632,-122.4002497,168,170,breck
McDonald's,37.6065203,-122.3983721,293,290,breck
Saluhall,37.7828385,-122.4092088,175,136,breck
Peets,37.7713457178786,-122.40530126875692,12,3,breck
Starbucks,37.7632836,-122.4099042,11,4,breck
Andytown,37.763993768418196,-122.41290558912497,7,5,breck
Haus,37.7527923,-122.4138023,1,1,breck
Temo's,37.7526981,-122.4122163,239,19,breck
L's Cafe,37.7526783,-122.40959,72,51,breck
Ikon Coffee,37.7577732,-122.3942779,21,4,breck
Caltrain,37.77629573892393,-122.39484531479059,299,295,breck
GitHub,37.7824545,-122.3913079,69,46,breck
SF Homebrew Crypto Club,37.7716735,-122.4131971,66,15,breck
WeWork Guest,37.7949989,-122.3984365,53,51,breck
Peet's,37.79461418980709,-122.39894028368151,19,7,breck
Four Seasons,37.792540356696705,-122.40097521709859,48,30,breck
Starbucks,37.78937895706318,-122.40698735352566,10,3,breck
McDonalds,37.78938336471439,-122.40763284711623,40,38,breck
Marriott Union Square,37.7894099,-122.4084032,143,53,breck
Starbucks,37.60290356738425,-122.39451192243399,9,3,breck
Peet's,37.6015452,-122.3928027,17,3,breck
Safeway,37.60355571085978,-122.39499105794175,27,2,breck
SFO,37.61699311093693,-122.38389250079841,201,157,breck
LAX Wifi,33.94659545528131,-118.40421163318656,29,83,breck
Delta Sky Club,33.9454098,-118.4055553,98,103,breck
HNL Free Wifi,21.329383,-157.9237374,93,13,breck
Delta Sky Club,21.3316334,-157.9185754,44,28,breck
McDonald's,21.285187,-157.708062,175,70,breck
Island Brew Coffeehouse,21.284062,-157.707187,94,20,breck
Hawaiʻi Kai Towne Center,21.283213,-157.711078,23,4,breck
Starbucks,21.283313,-157.710797,12,3,breck
Island Brew Coffeehouse,21.2936287,-157.8526952,230,3,breck
Our Kaka'ako,21.2980939,-157.8622883,95,37,kevinlim
Morning Brew - Kaka'ako,21.297688,-157.860448,79,73,kevinlim
Box Jelly,21.2928312,-157.8519111,70,24,breck
Ward Village,21.2919793820209,-157.850413451726,25,4,breck
Wholefoods,21.2946436,-157.8524053,79,10,breck
Hiking Hawaii Cafe,21.2855044095239,-157.834461108388,160,17,matt
Sheraton Waikiki,21.2768656,-157.8303232,98,95,matt
McDonald's,21.2853928,-157.8379656,13,10,breck
Starbucks,21.2777786,-157.833186,9,4,breck
Coconut Waikiki Hotel,21.28268755,-157.827595010348,26,4,breck
McDonald's,21.2761313121013,-157.825797366504,57,96,breck
McDonald's,21.28046355,-157.827626119682,17,1,breck
Starbucks,21.2796028,-157.8266621,11,4,breck
Hula Grill Waikiki,21.27715,-157.8276707,23,4,breck
Stay Hotel Waikiki,21.2763325,-157.824452972983,3,2,breck
Kai Coffee @ Hyatt Regency,21.276067,-157.82509011592,14,9,breck
McDonald's,21.2746455,-157.8242588,237,96,breck
Starbucks,21.2719973,-157.822407982078,13,2,breck
Aloh Cafe,21.280457,-157.8267125,60,32,matt
The Beach Waikiki Hostel,21.2723024174823,-157.821053631044,12,4,matt
Marriott Courtyard Waikiki Beach,21.28155615,-157.82727085,30,31,matt
Marriott Renaissance Honolulu Hotel & Spa,21.2937565389042,-157.843784683439,19,17,matt
Marriott Vacation Club,21.328941,-158.118743,14,13,matt
Seaside Hawaiian Hostel,21.2807692222222,-157.826410555556,61,35,matt
